# freq (s^-1)	PSD (strain^2 s)
5.850000e+01	4.375847e-24
5.875000e+01	4.372471e-24
5.900000e+01	4.369397e-24
5.925000e+01	4.366617e-24
5.950000e+01	4.364122e-24
5.975000e+01	4.361905e-24
6.000000e+01	4.359959e-24
6.025000e+01	4.358277e-24
6.050000e+01	4.356852e-24
6.075000e+01	4.355678e-24
6.100000e+01	4.354747e-24
6.125000e+01	4.354055e-24
6.150000e+01	4.353593e-24
6.175000e+01	4.353357e-24
6.200000e+01	4.353341e-24
6.225000e+01	4.353539e-24
6.250000e+01	4.353946e-24
6.275000e+01	4.354555e-24
6.300000e+01	4.355363e-24
6.325000e+01	4.356363e-24
6.350000e+01	4.357552e-24
6.375000e+01	4.358924e-24
6.400000e+01	4.360474e-24
6.425000e+01	4.362198e-24
6.450000e+01	4.364092e-24
6.475000e+01	4.366151e-24
6.500000e+01	4.368371e-24
6.525000e+01	4.370749e-24
6.550000e+01	4.373279e-24
6.575000e+01	4.375959e-24
6.600000e+01	4.378784e-24
6.625000e+01	4.381752e-24
6.650000e+01	4.384857e-24
6.675000e+01	4.388098e-24
6.700000e+01	4.391471e-24
6.725000e+01	4.394972e-24
6.750000e+01	4.398598e-24
6.775000e+01	4.402347e-24
6.800000e+01	4.406214e-24
6.825000e+01	4.410199e-24
6.850000e+01	4.414296e-24
6.875000e+01	4.418505e-24
6.900000e+01	4.422822e-24
6.925000e+01	4.427244e-24
6.950000e+01	4.431769e-24
6.975000e+01	4.436395e-24
7.000000e+01	4.441119e-24
7.025000e+01	4.445939e-24
7.050000e+01	4.450853e-24
7.075000e+01	4.455858e-24
7.100000e+01	4.460952e-24
7.125000e+01	4.466134e-24
7.150000e+01	4.471400e-24
7.175000e+01	4.476751e-24
7.200000e+01	4.482182e-24
7.225000e+01	4.487693e-24
7.250000e+01	4.493282e-24
7.275000e+01	4.498946e-24
7.300000e+01	4.504685e-24
7.325000e+01	4.510497e-24
7.350000e+01	4.516379e-24
7.375000e+01	4.522331e-24
7.400000e+01	4.528351e-24
7.425000e+01	4.534437e-24
7.450000e+01	4.540588e-24
7.475000e+01	4.546802e-24
7.500000e+01	4.553079e-24
7.525000e+01	4.559416e-24
7.550000e+01	4.565813e-24
7.575000e+01	4.572268e-24
7.600000e+01	4.578780e-24
7.625000e+01	4.585348e-24
7.650000e+01	4.591971e-24
7.675000e+01	4.598647e-24
7.700000e+01	4.605375e-24
7.725000e+01	4.612155e-24
7.750000e+01	4.618985e-24
7.775000e+01	4.625864e-24
7.800000e+01	4.632792e-24
7.825000e+01	4.639766e-24
7.850000e+01	4.646788e-24
7.875000e+01	4.653854e-24
7.900000e+01	4.660965e-24
7.925000e+01	4.668120e-24
7.950000e+01	4.675317e-24
7.975000e+01	4.682557e-24
8.000000e+01	4.689837e-24
8.025000e+01	4.697158e-24
8.050000e+01	4.704519e-24
8.075000e+01	4.711918e-24
8.100000e+01	4.719355e-24
8.125000e+01	4.726830e-24
8.150000e+01	4.734342e-24
8.175000e+01	4.741890e-24
8.200000e+01	4.749473e-24
8.225000e+01	4.757091e-24
8.250000e+01	4.764743e-24
8.275000e+01	4.772428e-24
8.300000e+01	4.780146e-24
8.325000e+01	4.787897e-24
8.350000e+01	4.795679e-24
8.375000e+01	4.803493e-24
8.400000e+01	4.811338e-24
8.425000e+01	4.819212e-24
8.450000e+01	4.827116e-24
8.475000e+01	4.835049e-24
8.500000e+01	4.843011e-24
8.525000e+01	4.851002e-24
8.550000e+01	4.859019e-24
8.575000e+01	4.867064e-24
8.600000e+01	4.875136e-24
8.625000e+01	4.883234e-24
8.650000e+01	4.891359e-24
8.675000e+01	4.899508e-24
8.700000e+01	4.907683e-24
