% Freq (Hz)	Omega_0(f)	2*sigma(f)
2.428125e+01	-1.089417e-06	3.668087e-06
2.431250e+01	5.350118e-07	3.568705e-06
2.434375e+01	1.969167e-06	3.544500e-06
2.437500e+01	1.632005e-07	3.520807e-06
2.440625e+01	-3.376839e-06	3.527624e-06
2.443750e+01	-2.202874e-07	3.564375e-06
2.446875e+01	-1.617013e-06	3.839706e-06
2.453125e+01	3.386781e-06	3.805395e-06
2.456250e+01	-1.519583e-06	3.540964e-06
2.459375e+01	-1.950181e-06	3.546249e-06
2.462500e+01	8.040071e-07	3.581108e-06
2.465625e+01	1.474032e-06	3.708261e-06
2.468750e+01	-8.914633e-09	3.742451e-06
2.471875e+01	-8.037730e-07	3.656485e-06
2.475000e+01	-8.538660e-07	3.677550e-06
2.478125e+01	-1.311073e-06	3.714553e-06
2.481250e+01	1.646275e-07	3.742542e-06
2.484375e+01	4.669832e-07	3.702990e-06
2.487500e+01	-1.806674e-06	3.714899e-06
2.490625e+01	2.002078e-06	3.736827e-06
2.493750e+01	-1.645559e-06	3.764779e-06
2.496875e+01	1.091489e-06	4.401741e-06
2.503125e+01	-2.221591e-06	4.482882e-06
2.506250e+01	-2.292485e-06	3.960526e-06
2.509375e+01	-2.572178e-06	3.922742e-06
2.512500e+01	1.249548e-06	3.888284e-06
2.515625e+01	2.471657e-07	3.943128e-06
2.518750e+01	2.614528e-06	4.106985e-06
2.521875e+01	2.163694e-06	4.499542e-06
2.525000e+01	5.523548e-06	5.347708e-06
2.528125e+01	1.294618e-06	5.930105e-06
2.531250e+01	-7.602710e-07	5.034037e-06
2.534375e+01	-1.230934e-07	3.872229e-06
2.537500e+01	1.965753e-06	3.463243e-06
2.540625e+01	-1.158768e-07	3.305686e-06
2.543750e+01	6.968784e-07	3.214857e-06
2.546875e+01	5.812940e-07	3.331683e-06
2.553125e+01	2.352655e-07	3.194887e-06
2.556250e+01	8.981826e-07	2.988282e-06
2.559375e+01	1.579049e-06	3.090368e-06
2.562500e+01	6.189688e-08	3.381360e-06
2.565625e+01	2.331542e-06	4.203777e-06
2.568750e+01	-1.038250e-06	5.124152e-06
2.571875e+01	-8.523308e-07	4.583431e-06
2.575000e+01	3.283694e-06	3.345675e-06
2.578125e+01	2.194070e-06	2.699320e-06
2.581250e+01	1.047897e-06	2.454535e-06
2.584375e+01	-8.431931e-07	2.355947e-06
2.587500e+01	-1.271364e-06	2.311286e-06
2.590625e+01	-1.598301e-06	2.273481e-06
2.593750e+01	4.198474e-08	2.236154e-06
2.596875e+01	1.579515e-06	2.215390e-06
2.600000e+01	1.584637e-06	2.219027e-06
2.603125e+01	-1.200249e-06	2.185318e-06
2.606250e+01	3.151026e-07	2.165474e-06
2.609375e+01	-9.173126e-10	2.099860e-06
2.612500e+01	-1.330467e-07	2.067784e-06
2.618750e+01	2.398198e-06	2.079792e-06
2.621875e+01	-1.044012e-06	2.117573e-06
2.625000e+01	-9.203303e-07	2.256887e-06
2.628125e+01	-2.786846e-07	2.145661e-06
2.631250e+01	6.606398e-07	2.168516e-06
2.637500e+01	-1.523924e-07	3.557983e-06
2.640625e+01	-2.269815e-06	4.356731e-06
2.643750e+01	4.572119e-07	3.577722e-06
2.646875e+01	2.152248e-08	2.888397e-06
2.653125e+01	2.467221e-06	2.494682e-06
2.656250e+01	-2.225435e-07	2.270907e-06
2.659375e+01	9.343187e-07	2.253465e-06
2.662500e+01	1.568495e-06	2.345048e-06
2.665625e+01	-1.532628e-06	2.356602e-06
2.668750e+01	1.219861e-06	2.242783e-06
2.671875e+01	7.178695e-07	2.166236e-06
2.675000e+01	-2.749177e-07	2.141607e-06
2.678125e+01	2.862789e-09	2.153945e-06
2.681250e+01	1.689448e-06	2.128177e-06
2.684375e+01	-1.563907e-06	2.088259e-06
2.687500e+01	-5.313604e-07	2.064258e-06
2.690625e+01	1.283854e-08	2.050575e-06
2.693750e+01	-3.032005e-07	2.109191e-06
2.696875e+01	1.298086e-06	2.153377e-06
2.700000e+01	-2.310702e-07	2.059318e-06
2.703125e+01	-1.100218e-06	2.009717e-06
2.706250e+01	9.433739e-07	1.987271e-06
2.709375e+01	-3.436746e-07	2.043624e-06
2.712500e+01	1.921299e-07	2.104830e-06
2.715625e+01	3.181215e-07	2.125914e-06
2.718750e+01	9.008682e-07	2.163859e-06
2.721875e+01	1.681888e-06	2.233679e-06
2.725000e+01	-1.516374e-06	2.323146e-06
2.728125e+01	6.600938e-07	2.348369e-06
2.731250e+01	-8.759884e-07	2.537781e-06
2.734375e+01	-6.482084e-07	2.352709e-06
2.737500e+01	-1.772468e-06	3.696916e-06
2.740625e+01	5.515961e-06	9.193440e-06
2.743750e+01	-1.337686e-06	7.824450e-06
2.746875e+01	-1.228649e-06	4.938226e-06
2.753125e+01	4.594898e-07	6.436468e-06
2.756250e+01	-7.541296e-07	2.437072e-06
2.759375e+01	1.822802e-07	2.097558e-06
2.762500e+01	-8.488746e-07	2.099356e-06
2.765625e+01	9.437621e-07	2.095340e-06
2.768750e+01	2.959170e-07	3.945962e-06
2.771875e+01	-4.335500e-06	6.822152e-06
2.775000e+01	-2.885402e-06	4.275560e-06
2.778125e+01	4.350856e-07	2.041461e-06
2.781250e+01	-6.971174e-07	1.924999e-06
2.784375e+01	5.393992e-08	1.936115e-06
2.787500e+01	7.458350e-08	2.177138e-06
2.790625e+01	-2.369383e-06	2.174331e-06
2.793750e+01	9.947363e-07	1.820937e-06
2.796875e+01	-7.643416e-07	1.768120e-06
2.800000e+01	7.507275e-07	1.833756e-06
2.803125e+01	8.472763e-07	1.888217e-06
2.806250e+01	1.452446e-07	1.838120e-06
2.809375e+01	3.657492e-07	1.751512e-06
2.812500e+01	-4.108897e-07	1.760774e-06
2.815625e+01	-8.476765e-07	2.071180e-06
2.818750e+01	7.247287e-07	8.448382e-06
2.821875e+01	-8.766012e-06	1.319586e-05
2.825000e+01	-1.373125e-06	6.181659e-06
2.828125e+01	1.124746e-06	2.051131e-06
2.831250e+01	3.263521e-07	1.698255e-06
2.834375e+01	2.963467e-07	1.660454e-06
2.837500e+01	7.514537e-07	1.660850e-06
2.840625e+01	9.807290e-07	1.655649e-06
2.843750e+01	6.212320e-08	1.666747e-06
2.846875e+01	1.107561e-07	1.786144e-06
2.853125e+01	1.283509e-06	1.755880e-06
2.856250e+01	1.653663e-06	1.612575e-06
2.859375e+01	6.278780e-07	1.871692e-06
2.862500e+01	6.663950e-07	1.935521e-06
2.865625e+01	-1.963628e-07	1.686528e-06
2.868750e+01	8.625901e-07	1.599153e-06
2.871875e+01	1.362112e-07	1.540408e-06
2.875000e+01	1.203159e-07	1.521573e-06
2.878125e+01	-1.130522e-06	1.504642e-06
2.881250e+01	7.140091e-07	1.496912e-06
2.884375e+01	6.769882e-07	1.490847e-06
2.887500e+01	3.011929e-07	1.487215e-06
2.890625e+01	-1.310364e-06	1.483218e-06
2.893750e+01	-4.067496e-08	1.480927e-06
2.896875e+01	-9.960549e-07	1.495701e-06
2.900000e+01	-1.047621e-07	1.533801e-06
2.903125e+01	3.134214e-07	1.604340e-06
2.906250e+01	-4.973175e-07	1.566663e-06
2.909375e+01	8.811483e-07	1.531914e-06
2.912500e+01	3.605302e-07	1.541833e-06
2.915625e+01	3.310756e-07	1.596639e-06
2.918750e+01	-2.447829e-08	1.715168e-06
2.921875e+01	-7.788280e-07	1.693325e-06
2.925000e+01	-1.261997e-06	1.675917e-06
2.928125e+01	-1.631721e-07	1.575551e-06
2.931250e+01	-1.004918e-06	1.553004e-06
2.934375e+01	-1.981264e-07	1.539393e-06
2.937500e+01	3.126999e-07	1.513806e-06
2.940625e+01	-5.845641e-07	1.495108e-06
2.943750e+01	-4.571813e-07	1.473159e-06
